Menerima Accept
Menasihati Advise
Menjawab Answer
Menyerang Attact
Memanggang Bake
Percaya Believe
Membawa Bring
Membeli Buy
Mengubah Change
Menutup Close
Mempertimbangkan Consider
Menyalin Copy
Mengantar Deliver
Menghancurkan Destroy
Melakukan Do
Menambahkan Add
Setuju Agree
Berdebat Argue
Menghindari Avoid
Mandi Bath
Memulai Begin
Membangun Build
Membatalkan Cancel
Membersihkan Clean
Membingungkan Confuse
Melanjutkan Continue
Memutuskan Decide
Berdiskusi Discuss
Mengemudi Drive
Memeriksa Examine
Mendorong Encourage
Menjelaskan Explain
Memaafkan Forgive
Memberi Give
Membantu Help
Bergegas Hurry
Mengabaikan
